"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"09-Mar-2018","    10271.30","    10296.70","    10211.90","    10226.85","      192333334","         9874.81"
"12-Mar-2018","    10301.60","    10433.65","    10295.45","    10421.40","      223135459","        10968.95"
"13-Mar-2018","    10389.50","    10478.60","    10377.85","    10426.85","      274852794","        23965.25"
"14-Mar-2018","    10393.05","    10420.35","    10336.30","    10410.90","      186991169","         9564.68"
"15-Mar-2018","    10405.45","    10420.00","    10346.20","    10360.15","      179308593","         8588.01"
"16-Mar-2018","    10345.15","    10346.30","    10180.25","    10195.15","      338702439","        18811.97"
"19-Mar-2018","    10215.35","    10224.55","    10075.30","    10094.25","      216670033","        11111.43"
"20-Mar-2018","    10051.55","    10155.65","    10049.10","    10124.35","      209327593","        10947.12"
"21-Mar-2018","    10181.95","    10227.30","    10132.95","    10155.25","      211060429","        11269.73"
"22-Mar-2018","    10167.50","    10207.85","    10105.40","    10114.75","      237632983","        11558.88"
"23-Mar-2018","     9968.80","    10027.70","     9951.90","     9998.05","      294515154","        14435.17"
"26-Mar-2018","     9989.15","    10143.50","     9958.55","    10130.65","      270665332","        12695.47"
"27-Mar-2018","    10188.00","    10207.90","    10139.65","    10184.15","      232713976","        11175.79"
"28-Mar-2018","    10143.60","    10158.35","    10096.90","    10113.70","      354977198","        18807.48"
"02-Apr-2018","    10151.65","    10220.10","    10127.75","    10211.80","      223135459","        10968.95"
"03-Apr-2018","    10186.85","    10255.35","    10171.05","    10245.00","      211652029","        10167.12"
"04-Apr-2018","    10274.60","    10279.85","    10111.30","    10128.40","      238182921","        11861.79"
"05-Apr-2018","    10228.45","    10331.80","    10227.45","    10325.15","      244116235","        11674.92"
"06-Apr-2018","    10322.75","    10350.45","    10290.85","    10331.60","      206355691","        10131.74"
"09-Apr-2018","    10333.70","    10397.70","    10328.50","    10379.35","      228512954","        10714.13"
"10-Apr-2018","    10412.90","    10424.85","    10381.50","    10402.25","      259523888","        11905.12"
"11-Apr-2018","    10428.15","    10428.15","    10355.60","    10417.15","      258077363","        11790.58"
"12-Apr-2018","    10410.65","    10469.90","    10395.25","    10458.65","      246027888","        12249.66"
"13-Apr-2018","    10495.30","    10519.90","    10451.45","    10480.60","      219724716","        12354.55"
"16-Apr-2018","    10398.30","    10540.15","    10396.35","    10528.35","      200950876","        11242.05"
"17-Apr-2018","    10557.30","    10560.45","    10495.65","    10548.70","      212449535","        10501.71"
"18-Apr-2018","    10578.90","    10594.20","    10509.70","    10526.20","      211823044","         9888.65"
"19-Apr-2018","    10563.65","    10572.20","    10546.20","    10565.30","      270740891","        12559.11"
"20-Apr-2018","    10560.35","    10582.35","    10527.45","    10564.05","      252227268","        15372.66"
"23-Apr-2018","    10592.80","    10638.35","    10514.95","    10584.70","      200203196","        13642.67"
"24-Apr-2018","    10578.10","    10636.80","    10569.00","    10614.35","      225972673","        12281.53"
"25-Apr-2018","    10612.40","    10612.60","    10536.45","    10570.55","      195129613","        11125.11"
"26-Apr-2018","    10586.50","    10628.40","    10559.65","    10617.80","      345536167","        19200.41"
"27-Apr-2018","    10651.65","    10719.80","    10647.55","    10692.30","      306671172","        16886.89"
"30-Apr-2018","    10705.75","    10759.00","    10704.60","    10739.35","      179163468","        10412.57"
"02-May-2018","    10783.85","    10784.65","    10689.80","    10718.05","      236757172","        14820.58"
"03-May-2018","    10720.15","    10720.60","    10647.45","    10679.65","      190869804","        11018.21"
"04-May-2018","    10700.45","    10700.45","    10601.60","    10618.25","      192296041","         9721.56"
"07-May-2018","    10653.15","    10725.65","    10635.65","    10715.50","      173620240","         9239.44"
"08-May-2018","    10757.90","    10758.55","    10689.40","    10717.80","      278118616","        12783.49"
"09-May-2018","    10693.35","    10766.25","    10689.85","    10741.70","      222115640","        10390.92"
"10-May-2018","    10779.65","    10785.55","    10705.00","    10716.55","      197988475","        10526.38"
"11-May-2018","    10741.95","    10812.05","    10724.45","    10806.50","      209392114","        10432.43"
"14-May-2018","    10815.15","    10834.85","    10774.75","    10806.60","      176697512","         9075.44"
"15-May-2018","    10812.60","    10929.20","    10781.40","    10801.85","      262202312","        13582.70"
"16-May-2018","    10751.95","    10790.45","    10699.70","    10741.10","      238221884","        11359.48"
"17-May-2018","    10775.60","    10777.25","    10664.50","    10682.70","      220738923","        12506.30"
"18-May-2018","    10671.85","    10674.95","    10589.10","    10596.40","      229908939","        13908.47"
"21-May-2018","    10616.70","    10621.70","    10505.80","    10516.70","      197294184","        11346.13"
"22-May-2018","    10518.45","    10558.60","    10490.55","    10536.70","      249236637","        12017.36"
"23-May-2018","    10521.10","    10533.55","    10417.80","    10430.35","      299919120","        13456.60"
"24-May-2018","    10464.85","    10535.15","    10419.80","    10513.85","      306792497","        12914.16"
"25-May-2018","    10533.05","    10628.05","    10524.00","    10605.15","      268914888","        12431.16"
"28-May-2018","    10648.35","    10709.80","    10640.55","    10688.65","      239786001","        11764.35"
"29-May-2018","    10689.40","    10717.25","    10616.10","    10633.30","      232761575","        11817.39"
"30-May-2018","    10579.00","    10648.70","    10558.45","    10614.35","      246124259","        12224.76"
"31-May-2018","    10670.10","    10763.80","    10620.40","    10736.15","      629198569","        29479.77"
"01-Jun-2018","    10738.45","    10764.75","    10681.50","    10696.20","      227355567","        12965.01"
"04-Jun-2018","    10765.95","    10770.30","    10618.35","    10628.50","      210148313","        14120.49"
"05-Jun-2018","    10630.70","    10633.15","    10550.90","    10593.15","      172898027","        10027.54"
"06-Jun-2018","    10603.45","    10698.35","    10587.50","    10684.65","      195761429","         9920.75"
"07-Jun-2018","    10722.60","    10818.00","    10722.60","    10768.35","      227663151","        11315.24"
"08-Jun-2018","    10736.40","    10779.45","    10709.05","    10767.65","      215942528","        12360.88"
"11-Jun-2018","    10781.85","    10850.55","    10777.05","    10786.95","      217849903","        11384.97"
"12-Jun-2018","    10816.15","    10856.55","    10789.40","    10842.85","      204419184","        11989.07"
"13-Jun-2018","    10887.50","    10893.25","    10842.65","    10856.70","      220003032","        12982.80"
"14-Jun-2018","    10832.90","    10833.70","    10773.55","    10808.05","      190031664","        11659.79"
"15-Jun-2018","    10808.65","    10834.00","    10755.40","    10817.70","      314764425","        19271.43"
"18-Jun-2018","    10830.20","    10830.20","    10787.35","    10799.85","      202727202","        11182.48"
"19-Jun-2018","    10789.45","    10789.45","    10701.20","    10710.45","      231382790","        12290.16"
"20-Jun-2018","    10734.65","    10781.80","    10724.05","    10772.05","      199467082","        10858.35"
"21-Jun-2018","    10808.45","    10809.60","    10725.90","    10741.10","      230507383","        12211.18"
"22-Jun-2018","    10742.70","    10837.00","    10710.45","    10821.85","      236898415","        13520.01"
"25-Jun-2018","    10822.90","    10831.05","    10753.05","    10762.45","      236693278","        12012.41"
"26-Jun-2018","    10742.70","    10805.25","    10732.55","    10769.15","      226846382","        12113.53"
"27-Jun-2018","    10785.50","    10785.50","    10652.40","    10671.40","      253620792","        13837.03"
"28-Jun-2018","    10660.80","    10674.20","    10557.70","    10589.10","      363157327","        20187.98"
"29-Jun-2018","    10612.85","    10723.05","    10612.35","    10714.30","      250327878","        14440.17"
"02-Jul-2018","    10732.35","    10736.15","    10604.65","    10657.30","      304536687","        13591.30"
"03-Jul-2018","    10668.60","    10713.30","    10630.25","    10699.90","      208371545","        10896.89"
"04-Jul-2018","    10715.00","    10777.15","    10677.75","    10769.90","      179268271","        10388.69"
"05-Jul-2018","    10786.05","    10786.05","    10726.25","    10749.75","      227267176","        13676.58"
"06-Jul-2018","    10744.15","    10816.35","    10735.05","    10772.65","      256547706","        14006.48"
"09-Jul-2018","    10838.30","    10860.35","    10807.15","    10852.90","      189331016","        10843.92"
"10-Jul-2018","    10902.75","    10956.90","    10876.65","    10947.25","      203061980","        12834.85"
"11-Jul-2018","    10956.40","    10976.65","    10923.00","    10948.30","      229211999","        15944.45"
"12-Jul-2018","    11006.95","    11078.30","    10999.65","    11023.20","      256034815","        15787.28"
"13-Jul-2018","    11056.90","    11071.35","    10999.75","    11018.90","      241670818","        14744.56"
"16-Jul-2018","    11018.95","    11019.50","    10926.25","    10936.85","      216971413","        13709.57"
"17-Jul-2018","    10939.65","    11018.50","    10925.60","    11008.05","      217107580","        12649.40"
"18-Jul-2018","    11060.20","    11076.20","    10956.30","    10980.45","      232502459","        13320.20"
"19-Jul-2018","    10999.50","    11006.50","    10935.45","    10957.10","      222056399","        12199.98"
"20-Jul-2018","    10963.50","    11030.25","    10946.20","    11010.20","      193144113","        14105.94"
"23-Jul-2018","    11019.85","    11093.40","    11010.95","    11084.75","      236153085","        14932.51"
"24-Jul-2018","    11109.00","    11143.40","    11092.50","    11134.30","      212247395","        13931.15"
"25-Jul-2018","    11148.40","    11157.15","    11113.25","    11132.00","      212333169","        12528.80"
"26-Jul-2018","    11132.95","    11185.85","    11125.70","    11167.30","      376657398","        21595.33"
"27-Jul-2018","    11232.75","    11283.40","    11210.25","    11278.35","      324343457","        15203.09"
"30-Jul-2018","    11296.65","    11328.10","    11261.45","    11319.55","      287435926","        14716.66"
"31-Jul-2018","    11311.05","    11366.00","    11267.75","    11356.50","      264430889","        15297.40"
"01-Aug-2018","    11359.80","    11390.55","    11313.55","    11346.20","      278012697","        14436.12"
"02-Aug-2018","    11328.90","    11328.90","    11234.95","    11244.70","      216533127","        12267.66"
"03-Aug-2018","    11297.80","    11368.00","    11294.55","    11360.80","      225146360","        12984.66"
"06-Aug-2018","    11401.50","    11427.65","    11370.60","    11387.10","      210002582","        11321.55"
"07-Aug-2018","    11423.15","    11428.95","    11359.70","    11389.45","      233409612","        12457.71"
"08-Aug-2018","    11412.50","    11459.95","    11379.30","    11450.00","      217047641","        12422.62"
"09-Aug-2018","    11493.25","    11495.20","    11454.10","    11470.70","      311521403","        15842.76"
"10-Aug-2018","    11474.95","    11478.75","    11419.65","    11429.50","      336424182","        15738.26"
"13-Aug-2018","    11369.60","    11406.30","    11340.30","    11355.75","      254466760","        12899.22"
"14-Aug-2018","    11381.70","    11452.45","    11370.80","    11435.10","      239841680","        13935.35"
"16-Aug-2018","    11397.15","    11449.85","    11366.25","    11385.05","      299610298","        17081.62"
"17-Aug-2018","    11437.15","    11486.45","    11431.80","    11470.75","      241985503","        13275.31"
"20-Aug-2018","    11502.10","    11565.30","    11499.65","    11551.75","      239843358","        14119.93"
